Код ФФ,Код СЦ,Distance
108,21,1278
108,22,2258
108,23,3992
108,24,709
108,25,1086
108,26,331
108,27,1117
108,28,1094
108,29,1062
108,30,1099
108,31,1759
108,32,701
108,33,947
108,34,2053
108,35,1302
108,36,1271
108,37,1037
108,38,1312
108,39,1857
108,40,247
108,41,1112
108,42,2170
108,43,808
108,44,1680
108,45,3966
108,46,2591
108,47,1658
108,48,1276
108,49,4011
108,50,43
108,51,1084
108,52,1115
108,53,1365
108,54,859
108,55,3747
108,56,918
108,57,1114
108,58,1094
109,1,511
109,2,184
109,3,1523
109,4,26
109,5,692
109,6,480
109,7,203
109,8,34
109,9,1630
109,10,2726
109,11,729
109,12,985
109,13,845
109,14,696
109,15,314
109,16,214
109,17,4194
109,18,35
109,19,961
109,20,0
109,21,1087
109,22,1803
109,23,3631
109,24,670
109,25,38
109,26,1426
109,27,40
109,28,0
109,29,56
109,30,22
109,31,1373
109,32,476
109,33,651
109,34,1441
109,35,404
109,36,461
109,37,390
109,38,880
109,39,1225
109,40,1336
109,41,26
109,42,1809
109,43,549
109,44,1471
109,45,3605
109,46,2140
109,47,1082
109,48,180
109,49,3651
109,50,1073
109,51,14
109,52,19
109,53,279
109,54,848
109,55,3386
109,56,194
109,57,58
109,58,0
110,1,503
110,2,219
110,3,1514
110,4,74
110,5,748
110,6,520
110,7,151
110,9,1622
110,10,2733
110,11,785
110,12,977
110,13,852
110,14,752
110,15,320
110,16,221
110,17,4200
110,18,59
110,19,1007
110,20,55
110,21,1035
110,22,1795
110,23,3638
110,24,681
110,25,25
110,26,1418
110,27,89
110,28,55
110,29,87
110,30,72
110,31,1379
110,32,468
110,33,599
110,34,1428
110,35,482
110,36,467
110,37,425
110,38,828
110,39,1232
110,40,1328
110,42,1815
110,43,560
110,44,1419
110,45,3612
110,46,2131
110,47,1089
110,48,236
110,49,3657
110,50,1065
110,52,69
110,53,319
110,54,796
110,55,3393
110,56,205
110,57,68
110,58,55
106,106-4-1,54
106,106-4-2,54
107,107-4-1,76
107,107-4-2,76
110,110-8-1,33
110,110-8-2,33
110,110-41-1,65
110,110-41-2,65
110,110-51-1,53
110,110-51-2,53
